id,is_discrete,name,original_coords
Uniform,False,Uniform,"[1664, 1867, 1852, 1944]"
Betapascal,True,Beta-Pascal,"[182, 318, 432, 394]"
Arcsin,False,Arcsin,"[1666, 976, 1854, 1054]"
Doublynoncentralf,False,Doubly noncentral F,"[40, 1721, 478, 1797]"
Triangular,False,Triangular,"[1227, 2096, 1478, 2174]"
Exponentialpower,False,Exponential power,"[1549, 1363, 1851, 1439]"
Hyperexponential,False,Hyperexponential,"[416, 1425, 695, 1498]"
F,False,F,"[319, 1314, 508, 1390]"
Zipf,True,Zipf,"[38, 64, 228, 142]"
Logisticexponential,False,Logistic-exponential,"[1185, 1268, 1510, 1344]"
Extremevalue,False,Extreme value,"[635, 2000, 902, 2072]"
Vonmises,False,von Mises,"[1635, 1996, 1852, 2072]"
Zeta,True,Zeta,"[38, 206, 228, 284]"
Kolmogorovsmirnov,False,Kolmogorov-Smirnov,"[1509, 2096, 1852, 2173]"
Standardwald,False,Standard Wald,"[342, 1050, 584, 1118]"
Rectangular,True,Rectangular,"[742, 64, 956, 142]"
Cauchy,False,Cauchy,"[88, 1002, 272, 1078]"
Noncentralt,False,Noncentral t,"[39, 1314, 290, 1391]"
Polya,True,Polya,"[1306, 424, 1492, 500]"
Beta,False,Beta,"[1662, 816, 1852, 892]"
Makeham,False,Makeham,"[1632, 1084, 1850, 1158]"
Bernoulli,True,Bernoulli,"[1664, 313, 1854, 396]"
Minimax,False,Minimax,"[1665, 1494, 1850, 1568]"
Poisson,True,Poisson,"[976, 202, 1166, 282]"
Error,False,Error,"[1102, 1490, 1288, 1563]"
Noncentralf,False,Noncentral F,"[69, 1582, 383, 1657]"
Hypergeometric,True,Hypergeometric,"[1506, 190, 1852, 270]"
Pascal,True,Pascal,"[384, 452, 572, 532]"
Lomax,False,Lomax,"[931, 1986, 1117, 2065]"
T,False,T,"[306, 1158, 493, 1234]"
Standarduniform,False,Standard uniform,"[1306, 1472, 1555, 1547]"
Generalizedgamma,False,Generalized gamma,"[1352, 720, 1694, 798]"
Gammapoisson,True,Gamma-Poisson,"[602, 298, 884, 374]"
Noncentralbeta,False,Noncentral beta,"[1540, 552, 1850, 630]"
Powerseries,True,Power series,"[490, 188, 776, 270]"
Benford,True,Benford,"[1162, 1892, 1349, 1970]"
Muth,False,Muth,"[819, 1469, 1005, 1545]"
Chisquare,False,Chi-square,"[762, 988, 974, 1062]"
Inversegaussian,False,Inverse Gaussian,"[378, 864, 652, 936]"
Rayleigh,False,Rayleigh,"[508, 1722, 693, 1797]"
Loggamma,False,Log gamma,"[1020, 694, 1240, 770]"
Negativehypergeometric,True,Negative hypergeometric,"[1400, 64, 1854, 142]"
Lognormal,False,Log normal,"[1240, 602, 1456, 678]"
Pareto,False,Pareto,"[767, 1724, 955, 1798]"
Noncentralchisquare,False,Noncentral chi-square,"[644, 722, 982, 796]"
Normal,False,Normal,"[850, 474, 1070, 553]"
Erlang,False,Erlang,"[1294, 1120, 1481, 1196]"
Gamma,False,Gamma,"[1310, 846, 1494, 922]"
Geometric,True,Geometric,"[40, 422, 230, 502]"
Invertedgamma,False,Inverted gamma,"[988, 838, 1264, 912]"
Hyperbolicsecant,False,Hyperbolic-secant,"[42, 864, 284, 938]"
Power,False,Power,"[1664, 1769, 1852, 1844]"
Logistic,False,Logistic,"[1008, 2096, 1195, 2175]"
Doublynoncentralt,False,Doubly noncentral t,"[40, 1456, 383, 1532]"
TSP,False,TSP,"[1385, 1836, 1602, 1911]"
Standardcauchy,False,Standard Cauchy,"[39, 1175, 259, 1251]"
Standardnormal,False,Standard normal,"[354, 564, 572, 644]"
Weibull,False,Weibull,"[634, 1854, 838, 1929]"
Hypoexponential,False,Hypoexponential,"[837, 1134, 1119, 1210]"
Generalizedpareto,False,Generalized Pareto,"[634, 2097, 979, 2171]"
Arctangent,False,Arctangent,"[118, 734, 332, 804]"
Standardtriangular,False,Standard triangular,"[1263, 1739, 1512, 1815]"
Chi,False,Chi,"[700, 828, 882, 898]"
Exponential,False,Exponential,"[790, 1286, 1008, 1360]"
Discreteweibull,True,Discrete Weibull,"[38, 564, 320, 642]"
Standardpower,False,Standard power,"[1556, 1643, 1852, 1719]"
Logarithm,True,Logarithm,"[258, 172, 448, 252]"
Gompertz,False,Gompertz,"[1588, 1206, 1805, 1283]"
Invertedbeta,False,Inverted beta,"[1352, 1020, 1600, 1092]"
Discreteuniform,True,Discrete uniform,"[324, 64, 602, 142]"
Binomial,True,Binomial,"[1210, 298, 1400, 378]"
Laplace,False,Laplace,"[821, 1590, 1039, 1666]"
Betabinomial,True,Beta-binomial,"[1022, 64, 1306, 142]"
Loglogistic,False,Log logistic,"[930, 1846, 1148, 1924]"
IDB,False,IDB,"[442, 1575, 625, 1652]"
